,id,Name,Team,Pos,Pos Rk,FF Pt,G,P Att,Comp,P Yds,P TD,INT,Sk,Carry,Ru Yds,Ru TD,Targ,Rec,Re Yd,Re TD,Car%,Targ%,SCK,FR,TD,PA,YA
39,QB40,Bailey Zappe,NE,QB,40,40.0,3.0,105.0,68.0,696.0,3.0,3.0,7.0,11.0,34.0,0.0,,,,,,,,,,,
40,RB1,Austin Ekeler,LAC,RB,1,274.0,14.0,,,,,,,193.0,836.0,9.0,82.0,67.0,500.0,3.0,46%,13%,,,,,
41,RB2,Christian McCaffrey,SF,RB,2,271.0,14.0,,,,,,,192.0,873.0,7.0,86.0,69.0,547.0,3.0,40%,17%,,,,,
42,RB3,Derrick Henry,TEN,RB,3,256.0,14.0,,,,,,,317.0,1367.0,9.0,42.0,32.0,285.0,1.0,67%,8%,,,,,
43,RB4,Bijan Robinson,ATL,RB,4,256.0,14.0,,,,,,,247.0,1126.0,8.0,64.0,50.0,374.0,2.0,50%,13%,,,,,
44,RB5,Saquon Barkley,NYG,RB,5,254.0,14.0,,,,,,,235.0,1006.0,8.0,73.0,54.0,430.0,2.0,56%,13%,,,,,
45,RB6,Josh Jacobs,LV,RB,6,250.0,14.0,,,,,,,259.0,1159.0,9.0,54.0,42.0,309.0,1.0,64%,9%,,,,,
46,RB7,Tony Pollard,DAL,RB,7,245.0,14.0,,,,,,,245.0,1165.0,8.0,51.0,39.0,317.0,2.0,49%,9%,,,,,
47,RB8,Nick Chubb,CLV,RB,8,238.0,14.0,,,,,,,262.0,1238.0,9.0,40.0,30.0,274.0,1.0,55%,8%,,,,,
48,RB9,Jonathan Taylor,IND,RB,9,229.0,13.0,,,,,,,268.0,1222.0,8.0,44.0,32.0,253.0,1.0,57%,9%,,,,,
49,RB10,Joe Mixon,CIN,RB,10,226.0,14.0,,,,,,,202.0,828.0,7.0,61.0,49.0,353.0,3.0,53%,10%,,,,,
50,RB11,Aaron Jones,GB,RB,11,223.0,14.0,,,,,,,189.0,935.0,4.0,66.0,52.0,403.0,3.0,43%,12%,,,,,
51,RB12,Najee Harris,PIT,RB,12,215.0,14.0,,,,,,,243.0,963.0,6.0,55.0,43.0,274.0,2.0,54%,10%,,,,,
52,RB13,Travis Etienne,JAX,RB,13,215.0,14.0,,,,,,,215.0,978.0,6.0,52.0,40.0,322.0,2.0,50%,9%,,,,,
53,RB14,Jahmyr Gibbs,DET,RB,14,212.0,14.0,,,,,,,167.0,743.0,7.0,63.0,48.0,381.0,2.0,37%,11%,,,,,
54,RB15,Rhamondre Stevenson,NE,RB,15,206.0,14.0,,,,,,,194.0,860.0,5.0,63.0,49.0,342.0,1.0,46%,11%,,,,,
55,RB16,James Conner,ARZ,RB,16,203.0,13.0,,,,,,,203.0,868.0,7.0,52.0,43.0,294.0,1.0,49%,9%,,,,,
56,RB17,Miles Sanders,CAR,RB,17,203.0,14.0,,,,,,,216.0,1012.0,6.0,51.0,36.0,298.0,1.0,51%,9%,,,,,
57,RB18,Dameon Pierce,HST,RB,18,203.0,14.0,,,,,,,227.0,966.0,6.0,50.0,37.0,268.0,1.0,52%,9%,,,,,
58,RB19,Rachaad White,TB,RB,19,202.0,14.0,,,,,,,217.0,908.0,5.0,57.0,44.0,293.0,1.0,53%,10%,,,,,
59,RB20,Alexander Mattison,MIN,RB,20,199.0,14.0,,,,,,,212.0,879.0,8.0,43.0,35.0,248.0,1.0,54%,7%,,,,,
60,RB21,Breece Hall,NYJ,RB,21,199.0,14.0,,,,,,,173.0,767.0,5.0,59.0,43.0,376.0,2.0,41%,10%,,,,,
61,RB22,Cam Akers,LAR,RB,22,198.0,14.0,,,,,,,211.0,872.0,7.0,44.0,33.0,280.0,2.0,56%,7%,,,,,
62,RB23,Kenneth Walker III,SEA,RB,23,198.0,14.0,,,,,,,220.0,968.0,7.0,39.0,30.0,214.0,1.0,53%,7%,,,,,
63,RB24,Alvin Kamara,NO,RB,24,196.0,12.0,,,,,,,157.0,666.0,4.0,66.0,49.0,449.0,2.0,35%,12%,,,,,
64,RB25,James Cook,BUF,RB,25,193.0,14.0,,,,,,,172.0,768.0,5.0,59.0,44.0,342.0,2.0,45%,10%,,,,,
65,RB26,David Montgomery,DET,RB,26,193.0,14.0,,,,,,,190.0,779.0,8.0,45.0,36.0,278.0,1.0,42%,8%,,,,,
66,RB27,Isiah Pacheco,KC,RB,27,192.0,14.0,,,,,,,200.0,903.0,7.0,37.0,30.0,235.0,1.0,55%,6%,,,,,
67,RB28,Javonte Williams,DEN,RB,28,188.0,13.0,,,,,,,174.0,754.0,6.0,52.0,41.0,296.0,2.0,40%,10%,,,,,
68,RB29,J.K. Dobbins,BLT,RB,29,181.0,13.0,,,,,,,178.0,859.0,7.0,36.0,28.0,195.0,1.0,38%,7%,,,,,
69,RB30,D'Andre Swift,PHI,RB,30,171.0,14.0,,,,,,,115.0,533.0,5.0,55.0,40.0,339.0,2.0,23%,11%,,,,,
70,RB31,AJ Dillon,GB,RB,31,169.0,14.0,,,,,,,175.0,753.0,5.0,44.0,32.0,248.0,1.0,40%,8%,,,,,
71,RB32,Jeff Wilson Jr.,MIA,RB,32,162.0,14.0,,,,,,,158.0,689.0,6.0,41.0,27.0,237.0,2.0,39%,7%,,,,,
72,RB33,Khalil Herbert,CHI,RB,33,157.0,14.0,,,,,,,160.0,765.0,5.0,34.0,26.0,187.0,1.0,34%,7%,,,,,
73,RB34,Dalvin Cook,NYJ,RB,34,156.0,14.0,,,,,,,172.0,736.0,4.0,38.0,29.0,214.0,1.0,40%,7%,,,,,
74,RB35,Brian Robinson Jr.,WAS,RB,35,154.0,14.0,,,,,,,200.0,819.0,4.0,34.0,25.0,183.0,1.0,47%,6%,,,,,
75,RB36,Samaje Perine,DEN,RB,36,149.0,14.0,,,,,,,154.0,653.0,4.0,37.0,29.0,215.0,1.0,35%,7%,,,,,
