id,Name,Team,Pos,Pos Rk,FF Pt,G,Carry,Ru Yds,Ru TD,Targ,Rec,Re Yd,Re TD,Car%,Targ%
RB69,Kenyan Drake,IND,RB,69,60,14,56,244,2,20,14,106,0,12%,4%
RB70,Trayveon Williams,CIN,RB,70,59,14,49,216,2,18,14,102,1,13%,3%
RB71,Raheem Blackshear,CAR,RB,71,59,14,38,162,1,23,17,132,1,9%,4%
RB72,Isaiah Spiller,LAC,RB,72,57,14,62,262,2,12,9,66,0,15%,2%
RB73,Zamir White,LV,RB,73,55,14,76,322,3,6,4,33,0,19%,1%
RB74,Corey Clement,ARZ,RB,74,54,14,50,213,2,17,13,91,0,12%,3%
RB75,Kene Nwangwu,MIN,RB,75,54,14,51,219,2,12,9,67,0,13%,2%
RB76,Deuce Vaughn,DAL,RB,76,53,14,33,142,1,22,17,124,1,7%,4%
RB77,Ke'Shawn Vaughn,TB,RB,77,50,14,58,248,2,11,8,59,0,14%,2%
RB78,Tony Jones Jr.,DEN,RB,78,49,14,55,223,2,11,8,59,0,13%,2%
RB79,Kendre Miller,NO,RB,79,48,14,44,189,1,15,11,86,0,10%,3%
RB80,Craig Reynolds,DET,RB,80,48,14,40,172,2,14,10,84,0,9%,2%
RB81,Ty Montgomery,NE,RB,81,47,14,13,52,0,28,21,155,1,3%,5%
RB82,Hassan Haskins,TEN,RB,82,46,14,28,119,1,21,16,113,1,6%,4%
RB83,Travis Homer,CHI,RB,83,44,14,24,106,1,19,15,110,0,5%,4%
RB84,Gary Brightwell,NYG,RB,84,43,14,41,176,2,11,8,57,0,10%,2%
RB85,Roschon Johnson,CHI,RB,85,42,14,57,239,2,5,4,27,0,12%,1%
RB86,Chris Rodriguez,WAS,RB,86,41,14,32,133,1,17,13,89,0,8%,3%
RB87,Dare Ogunbowale,HST,RB,87,39,14,30,121,1,16,11,83,0,7%,3%
RB88,Brandon Bolden,LV,RB,88,39,14,32,137,1,11,9,69,0,8%,2%
RB89,Alec Ingold,MIA,RB,89,39,17,4,17,0,23,18,129,1,1%,4%
RB90,Latavius Murray,BUF,RB,90,38,14,35,148,1,11,9,57,0,9%,2%
RB91,Zack Moss,IND,RB,91,36,12,30,131,1,13,9,67,0,6%,3%
RB92,Zach Evans,LAR,RB,92,36,14,37,153,1,9,7,52,0,10%,1%
RB93,JaMycal Hasty,JAX,RB,93,35,14,25,107,1,14,11,71,0,6%,2%
RB94,John Kelly,CLV,RB,94,35,14,33,140,1,10,8,58,0,7%,2%
RB95,Chris Evans,CIN,RB,95,35,14,27,115,1,12,9,67,0,7%,2%
RB96,DeeJay Dallas,SEA,RB,96,32,14,28,124,1,8,7,44,0,7%,2%
RB97,DeWayne McBride,MIN,RB,97,31,14,35,145,1,6,5,33,0,9%,1%
RB98,Melvin Gordon,BLT,RB,98,30,14,29,117,1,7,6,37,0,6%,1%
RB99,Anthony McFarland Jr.,PIT,RB,99,29,13,30,128,1,8,6,43,0,7%,1%
RB100,Evan Hull,IND,RB,100,29,14,25,107,1,10,7,55,0,5%,2%
RB101,Sean Tucker,TB,RB,101,29,13,35,147,1,5,4,30,0,8%,1%
RB102,Kyle Juszczyk,SF,RB,102,28,17,5,21,0,15,11,91,1,1%,3%
RB103,Patrick Taylor,GB,RB,103,28,13,29,125,1,8,6,42,0,7%,1%
RB104,Tyrion Davis-Price,SF,RB,104,28,14,33,140,1,5,3,25,0,7%,1%
RB105,Michael Carter,NYJ,RB,105,27,14,20,77,0,11,9,61,0,5%,2%
RB106,Boston Scott,PHI,RB,106,25,14,24,100,1,5,4,26,0,5%,1%
RB107,Mohamed Ibrahim,DET,RB,107,24,13,17,72,1,8,6,46,0,4%,1%
RB108,Justice Hill,BLT,RB,108,23,14,14,61,0,10,8,51,0,3%,2%
RB109,C.J. Ham,MIN,RB,109,22,17,4,17,0,12,9,70,0,1%,2%
